# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	86.1908	33.9691	5.3768	5.72487	58.7	0	0	0	86.1908	0.938647	143	22	26.2791	1.32917	0	1.59369
1	1	1	0	109.289	38.2848	-5.97632	5.9848	58.5	0	0	0	109.289	0.936988	157	30	26.2686	1.76483	0	1.5479
2	1	1	0	108.856	38.2065	16.7381	4.00898	55.3	0	0	0	108.856	0.937104	158	30	29.6299	0.932708	0	1.67779
3	1	1	0	109.901	38.2665	-17.7108	4.7997	55.1	0	0	0	109.901	0.943129	156	30	29.7812	2.17014	0	1.63223
4	1	1	0	82.0021	33.0938	27.3845	1.14523	50.2	0	0	0	82.0021	0.940894	137	22	35.199	0.637006	0	1.73834
5	1	1	0	82.7199	33.19	-28.7588	2.28752	49.7	0	0	0	82.7199	0.943636	143	22	35.5378	2.47124	0	1.69647
6	1	1	0	104.683	38.2596	37.9389	-2.13565	44.6	0	0	0	104.683	0.898678	154	30	42.6737	0.426543	0	1.77592
7	1	1	0	97.3925	36.6822	-39.1747	-0.723609	44.1	0	0	0	97.3925	0.909546	152	30	42.751	2.67929	0	1.73934
8	1	1	0	82.763	32.7271	47.014	-6.49674	39.9	0	0	0	82.763	0.971028	148	30	49.735	0.270589	0	1.82527
9	1	1	0	61.7741	28.2429	-47.709	-4.75608	39.6	0	0	0	61.7741	0.973189	140	22	49.1536	2.83074	0	1.79192
10	2	0	0	90.2403	34.3545	-0.0194482	-2.91168	68.1	0	0	0	90.2403	0.960825	156	30	16.9027	1.51801	0	0
11	2	0	0	86.251	33.6228	10.6664	-4.16386	64.9	0	0	0	86.251	0.958752	146	30	19.4486	0.933157	0	0
12	2	0	0	87.1961	33.856	-11.2966	-3.59535	64.7	0	0	0	87.1961	0.955949	154	30	19.2392	2.14099	0	0
13	2	0	0	89.7134	34.2708	21.4497	-6.31372	57.9	0	0	0	89.7134	0.959881	154	30	26.1084	0.542408	0	0
14	2	0	0	85.831	33.596	-22.6409	-5.12459	57.2	0	0	0	85.831	0.955606	148	30	26.2159	2.54788	0	0
15	2	0	0	87.6862	34.4508	32.0755	-9.36512	50.3	0	0	0	87.6862	0.928416	149	30	34.5952	0.306122	0	0
16	2	0	0	87.254	34.4023	-33.3653	-8.07145	49.7	0	0	0	87.254	0.926448	151	30	34.5052	2.79506	0	0
17	2	1	0	60.6561	28.3488	42.18	-13.0082	43.5	0	0	0	60.6561	0.948454	142	22	43.6218	0.156121	0	0
18	2	1	0	59.1508	27.8946	-43.4461	-11.0941	42.9	0	0	0	59.1508	0.955277	138	22	43.4147	2.93991	0	0
19	3	0	0	90.5813	34.4221	4.7764	-12.7508	76.3	84.5	0	0	90.5813	0.960668	152	30	9.05051	0.891249	0	0
