# CellID	NodeIndex	X	Y	R	Theta
0	0	10.6191	3.66013	26.8916	1.1259
0	1	10.6576	3.85423	27.0834	1.1277
0	2	10.6944	4.05193	27.2778	1.12959
0	3	10.7274	4.24991	27.471	1.13158
0	4	10.7575	4.44778	27.6629	1.13364
0	5	10.7858	4.64545	27.854	1.13572
0	6	10.8133	4.84332	28.0451	1.13781
0	7	10.8404	5.04229	28.2372	1.13989
0	8	10.8673	5.24365	28.4314	1.14199
0	9	10.8921	5.44468	28.6246	1.14412
0	10	10.9148	5.64735	28.8186	1.14631
0	11	10.9336	5.8496	29.0107	1.1486
0	12	10.9488	6.0516	29.2013	1.15095
0	13	10.9614	6.25318	29.3906	1.15336
0	14	10.9724	6.45442	29.5791	1.15578
0	15	10.9825	6.65584	29.7676	1.15819
0	16	10.9922	6.85829	29.957	1.16061
0	17	11.0012	7.06256	30.148	1.16303
0	18	11.0081	7.26888	30.3403	1.16552
0	19	11.0085	7.47694	30.5317	1.1682
0	20	10.9926	7.68456	30.7166	1.17132
0	21	11.0038	7.8859	30.9066	1.17352
0	22	10.935	8.04124	31.0234	1.17751
0	23	10.7605	8.1815	31.0869	1.18442
0	24	10.5897	8.3537	31.1828	1.19158
0	25	10.3688	8.51592	31.2529	1.20006
0	26	10.0828	8.67634	31.3004	1.21044
0	27	9.7107	8.84611	31.3308	1.22346
0	28	9.33357	9.00116	31.3508	1.23645
0	29	8.95042	9.14514	31.3638	1.2495
0	30	8.55859	9.27513	31.3661	1.26266
0	31	8.16056	9.38672	31.3544	1.27584
0	32	7.76126	9.48212	31.3323	1.28892
0	33	7.36057	9.56982	31.3078	1.30199
0	34	6.95377	9.64423	31.2742	1.31516
0	35	6.54084	9.69889	31.2254	1.3284
0	36	6.12821	9.73348	31.1626	1.34152
0	37	5.71679	9.75913	31.0967	1.35459
0	38	5.30444	9.77383	31.0253	1.36768
0	39	4.88791	9.77318	30.9433	1.38086
0	40	4.47018	9.75188	30.8462	1.39403
0	41	4.0568	9.71177	30.7366	1.40704
0	42	3.64692	9.65768	30.619	1.41996
0	43	3.23665	9.5888	30.4918	1.43292
0	44	2.82659	9.49975	30.3498	1.4459
0	45	2.42297	9.39089	30.194	1.45872
0	46	2.02417	9.2732	30.0349	1.47147
0	47	1.63145	9.14349	29.8693	1.48413
0	48	1.32513	9.01624	29.7174	1.49402
0	49	1.08153	8.88062	29.5644	1.50189
0	50	0.858129	8.7772	29.4467	1.50921
0	51	0.741964	8.64356	29.3063	1.51289
0	52	0.700041	8.46599	29.1267	1.51397
0	53	0.64139	8.27903	28.9367	1.51563
0	54	0.599644	8.08169	28.7374	1.5167
0	55	0.566321	7.88199	28.5362	1.51749
0	56	0.538779	7.68227	28.3353	1.51809
0	57	0.515201	7.48435	28.1364	1.51855
0	58	0.49432	7.28903	27.9403	1.51893
0	59	0.475303	7.0961	27.7466	1.51926
0	60	0.457665	6.90487	27.5547	1.51954
0	61	0.441254	6.7145	27.3638	1.51978
0	62	0.426194	6.52429	27.173	1.51998
0	63	0.412781	6.33392	26.9822	1.52012
0	64	0.401389	6.14345	26.7914	1.52018
