# CellID	NodeIndex	X	Y	R	Theta
8	0	47.9437	5.2788	49.3431	0.268284
8	1	48.061	5.47889	49.5095	0.271553
8	2	48.1687	5.68646	49.6693	0.274997
8	3	48.2652	5.90131	49.8207	0.278622
8	4	48.3489	6.1222	49.9624	0.282411
8	5	48.4198	6.34732	50.0936	0.286333
8	6	48.4787	6.57518	50.2149	0.290354
8	7	48.5271	6.80523	50.3275	0.294459
8	8	48.5658	7.03774	50.4325	0.298648
8	9	48.5949	7.27337	50.5301	0.302936
8	10	48.6132	7.51254	50.6194	0.307337
8	11	48.6192	7.75482	50.6989	0.311856
8	12	48.6118	7.99877	50.7672	0.316475
8	13	48.5911	8.24258	50.824	0.321161
8	14	48.5585	8.48511	50.8702	0.325886
8	15	48.5157	8.72632	50.9075	0.330644
8	16	48.4634	8.967	50.9367	0.335447
8	17	48.401	9.208	50.9577	0.340316
8	18	48.3266	9.44942	50.9688	0.345268
8	19	48.2382	9.68995	50.9677	0.350296
8	20	48.1348	9.92706	50.9526	0.355363
8	21	48.0177	10.1584	50.924	0.360423
8	22	47.8896	10.3834	50.884	0.365448
8	23	47.7524	10.6031	50.8351	0.370449
8	24	47.6068	10.819	50.7781	0.375451
8	25	47.4515	11.0318	50.7124	0.380477
8	26	47.2849	11.2406	50.6359	0.385528
8	27	47.106	11.4433	50.5469	0.390574
8	28	46.9173	11.6364	50.4466	0.395538
8	29	46.7214	11.8197	50.337	0.400398
8	30	46.5202	11.9946	50.2205	0.405166
8	31	46.3142	12.1629	50.098	0.409874
8	32	46.1021	12.3253	49.9688	0.414547
8	33	45.8821	12.4809	49.8307	0.419183
8	34	45.6533	12.6271	49.6817	0.423747
8	35	45.4167	12.7613	49.5217	0.428182
8	36	45.1754	12.8833	49.3533	0.432461
8	37	44.9306	12.9919	49.1769	0.436552
8	38	44.7154	13.0749	49.0172	0.439942
8	39	44.5186	13.1304	48.8631	0.442685
8	40	44.3349	13.1671	48.7129	0.444981
8	41	44.1592	13.1949	48.5664	0.447055
8	42	43.9855	13.2115	48.417	0.448915
8	43	43.8115	13.208	48.2588	0.450414
8	44	43.6367	13.2142	48.1042	0.452112
8	45	43.4651	13.1822	47.9359	0.453075
8	46	43.2909	13.1059	47.7459	0.453237
8	47	43.1219	13.0203	47.5564	0.453175
8	48	42.9579	12.9296	47.3692	0.452968
8	49	42.7962	12.8403	47.1848	0.452767
8	50	42.6386	12.7503	47.0038	0.452511
8	51	42.4822	12.6584	46.8228	0.452206
8	52	42.327	12.5639	46.642	0.451838
8	53	42.1742	12.465	46.4613	0.45136
8	54	42.0211	12.3654	46.2802	0.450864
8	55	41.8715	12.2596	46.0994	0.450214
8	56	41.7243	12.1508	45.9195	0.449475
8	57	41.5799	12.0393	45.7411	0.448652
8	58	41.4422	11.9224	45.5663	0.447651
8	59	41.3089	11.8043	45.3951	0.446577
8	60	41.1804	11.685	45.2277	0.445425
8	61	41.0574	11.5643	45.0646	0.444184
8	62	40.938	11.4437	44.9051	0.442902
8	63	40.8192	11.3202	44.7448	0.441545
8	64	40.7053	11.19	44.5863	0.439998
8	65	40.5898	11.0595	44.4263	0.438447
8	66	40.4819	10.9218	44.2702	0.436666
8	67	40.3734	10.7848	44.114	0.43489
8	68	40.2743	10.642	43.964	0.432894
8	69	40.1782	10.4996	43.8171	0.430864
8	70	40.0907	10.3545	43.6771	0.428682
8	71	40.0085	10.2113	43.543	0.426476
8	72	39.9318	10.0693	43.4145	0.424229
8	73	39.8612	9.92738	43.2919	0.421913
8	74	39.7955	9.78527	43.1739	0.419533
8	75	39.7393	9.64	43.0635	0.416984
8	76	39.6957	9.48883	42.9626	0.414178
8	77	39.6695	9.32561	42.8731	0.410939
8	78	39.6553	9.15226	42.7911	0.407358
8	79	39.6549	8.96552	42.7172	0.403347
8	80	39.6681	8.78706	42.6596	0.399378
8	81	39.699	8.6172	42.6223	0.395425
8	82	39.7452	8.45221	42.6017	0.391433
8	83	39.8021	8.28984	42.5927	0.3874
8	84	39.8688	8.13012	42.5945	0.383336
8	85	39.9408	7.97138	42.6023	0.379248
8	86	40.0162	7.81313	42.6141	0.375143
8	87	40.0959	7.65413	42.6304	0.370988
8	88	40.1827	7.49586	42.6542	0.366792
8	89	40.2711	7.33524	42.6795	0.362537
8	90	40.3647	7.17436	42.7104	0.358238
8	91	40.4606	7.01198	42.7437	0.353893
8	92	40.561	6.85007	42.7822	0.349529
8	93	40.6644	6.68918	42.8246	0.345173
8	94	40.7723	6.5252	42.8711	0.340722
8	95	40.8838	6.35969	42.9213	0.336219
8	96	40.9974	6.19414	42.9744	0.331711
8	97	41.1119	6.02972	43.0295	0.327232
8	98	41.226	5.86674	43.0856	0.322798
8	99	41.3402	5.70576	43.1432	0.31842
8	100	41.4549	5.54757	43.2031	0.314111
8	101	41.5731	5.38667	43.2661	0.30973
8	102	41.6952	5.2241	43.3333	0.305298
