# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	0	0	65.6371	31.307	3.91486	1.15107	66.2843	0	0	0	65.6371	0.841543	148	24	21.1302	1.38559	0	1.51393
1	1	0	0	62.1401	30.1734	-4.16195	0.690804	66.2843	0	0	0	62.1401	0.857698	138	19	20.7354	1.77405	0	1.62766
2	1	0	0	74.6281	34.5254	11.9379	1.26876	62.6303	0	0	0	74.6281	0.786744	152	26	24.0457	1.05241	0	1.54241
3	1	0	0	60.1878	30.8734	-11.6715	0.599018	62.6303	0	0	0	60.1878	0.793506	144	22	23.3559	2.09525	0	1.59915
4	1	0	0	68.7635	31.734	20.1677	1.02763	57.2731	0	0	0	68.7635	0.858062	152	26	28.8446	0.79769	0	1.56593
5	1	0	0	68.9265	31.6919	-19.8218	0.384047	57.2731	0	0	0	68.9265	0.862379	148	24	28.1766	2.35227	0	1.59831
6	1	0	0	72.3485	33.0385	28.1309	0.652209	51.5796	0	0	0	72.3485	0.83291	154	27	34.6538	0.624792	0	1.5807
7	1	0	0	60.7488	31.9515	-27.9488	0.793756	51.5796	0	0	0	60.7488	0.747764	140	20	34.6279	2.51121	0	1.5757
8	1	1	0	56.574	26.8914	36.2227	-0.36347	46.1085	0	0	0	56.574	0.983106	138	19	41.0012	0.488842	0	1.60655
9	1	1	0	78.8775	31.8079	-36.2827	-0.0257345	46.1085	0	0	0	78.8775	0.979701	154	27	41.2553	2.64675	0	1.59711
10	2	0	0	44.7012	24.2649	-0.0971679	-7.45532	75.6611	0	0	0	44.7012	0.954053	136	18	12.1631	1.58074	0	0
11	2	0	0	60.8884	29.7354	7.56395	-7.53225	71.5834	0	0	0	60.8884	0.86536	156	28	14.2448	1.01298	0	0
12	2	0	0	49.2584	25.6074	-7.69878	-7.50641	71.5834	0	0	0	49.2584	0.94397	146	23	14.3639	2.13842	0	0
13	2	0	0	60.1344	28.6936	16.0552	-7.26994	64.4226	0	0	0	60.1344	0.91783	156	28	20.2355	0.656319	0	0
14	2	0	0	52.7131	26.5756	-15.7923	-7.49013	64.4226	0	0	0	52.7131	0.93791	148	24	19.9305	2.48743	0	0
15	2	0	0	49.5667	25.4136	24.2613	-7.50694	57.3268	0	0	0	49.5667	0.964423	134	17	27.0949	0.463385	0	0
16	2	0	0	54.5006	27.0384	-24.0385	-7.68881	57.3268	0	0	0	54.5006	0.936803	148	24	26.8569	2.68135	0	0
17	2	1	0	58.4175	27.4737	32.3474	-7.75453	50.8295	0	0	0	58.4175	0.972567	140	20	34.4319	0.351751	0	0
18	2	1	0	72.0713	30.6092	-32.4714	-8.10306	50.8295	0	0	0	72.0713	0.966645	152	26	34.4749	2.80105	0	0
19	3	0	0	56.4914	30.1355	3.94428	-15.6944	79.403	96.8513	0	0	56.4914	0.781691	146	23	5.54646	0.785754	0	0
20	3	0	0	57.4416	27.9374	-3.81634	-15.6799	79.403	96.8513	0	0	57.4416	0.924835	150	25	5.50026	2.34362	0	0
21	3	0	0	67.8513	36.0461	12.0788	-15.4909	70.1832	88.0272	0	0	67.8513	0.656223	144	22	12.7419	0.329826	0	0
22	3	0	0	59.6029	27.7624	-11.8287	-15.5115	70.1832	88.0272	0	0	59.6029	0.971771	134	17	12.5436	2.80809	0	0
23	3	0	0	66.8508	37.3277	19.9725	-15.765	61.9924	78.1853	0	0	66.8508	0.602911	152	26	20.3174	0.190783	0	0
24	3	0	0	51.6192	26.7245	-19.7511	-15.6177	61.9924	78.1853	0	0	51.6192	0.908243	142	21	20.1754	2.94201	0	0
25	3	1	0	70.9479	30.2459	28.1512	-15.7673	54.7522	69.0448	0	0	70.9479	0.97458	154	27	28.3898	0.136049	0	0
26	3	1	0	60.6663	27.9292	-27.5579	-15.8549	54.7522	69.0448	0	0	60.6663	0.97733	142	21	27.8371	3.006	0	0
27	4	0	0	46.5727	27.3759	-0.0809524	-23.8773	73.7787	107.858	0	0	46.5727	0.780916	136	18	4.2608	-1.59537	0	0
28	4	0	0	72.9688	37.1208	7.45127	-23.6822	70.3211	96.5123	0	0	72.9688	0.665444	150	25	8.46687	-0.500698	0	0
29	4	0	0	58.3617	31.6845	-8.36587	-23.8392	70.3211	96.5123	0	0	58.3617	0.730541	138	19	9.39177	-2.67541	0	0
30	4	0	0	56.942	33.3846	15.8731	-23.9748	63.7015	84.8672	0	0	56.942	0.642021	142	21	16.4374	-0.268274	0	0
31	4	0	0	46.5025	24.4237	-15.9269	-23.4298	63.7015	84.8672	0	0	46.5025	0.979637	134	17	16.3998	-2.907	0	0
32	4	1	0	71.4595	31.8584	24.0303	-23.7815	56.8721	74.5905	0	0	71.4595	0.884756	154	27	24.365	-0.171731	0	0
33	4	1	0	51.7682	25.7699	-23.9051	-23.69	56.8721	74.5905	0	0	51.7682	0.979599	138	19	24.2728	-2.97303	0	0
34	5	0	0	57.3969	30.7583	4.74032	-31.8614	64.684	93.5098	0	0	57.3969	0.762383	146	23	13.1207	-1.20309	0	0
