# CellID	NodeIndex	X	Y	R	Theta
8	0	45.5533	11.0951	45.6165	0.137368
8	1	45.6926	11.3448	45.7893	0.142354
8	2	45.8166	11.5995	45.9488	0.147458
8	3	45.9281	11.8582	46.0976	0.152653
8	4	46.0282	12.1222	46.2375	0.157967
8	5	46.1154	12.3934	46.3669	0.163446
8	6	46.1864	12.6709	46.4828	0.169089
8	7	46.2397	12.9514	46.5834	0.174831
8	8	46.2775	13.2318	46.6701	0.180607
8	9	46.3027	13.5118	46.746	0.186405
8	10	46.3164	13.7932	46.8124	0.192257
8	11	46.3168	14.0771	46.8679	0.198201
8	12	46.3011	14.3625	46.9096	0.204231
8	13	46.2687	14.6461	46.9362	0.210288
8	14	46.2215	14.9257	46.9493	0.216322
8	15	46.1622	15.2017	46.9514	0.222335
8	16	46.0907	15.4759	46.943	0.228367
8	17	46.0043	15.7488	46.9215	0.234451
8	18	45.8999	16.0182	46.8834	0.240556
8	19	45.7775	16.2794	46.8276	0.246597
8	20	45.6411	16.5303	46.7575	0.252512
8	21	45.4945	16.7722	46.6767	0.258316
8	22	45.3383	17.0077	46.5866	0.264059
8	23	45.1708	17.2377	46.4857	0.269776
8	24	44.9895	17.4602	46.371	0.275442
8	25	44.7947	17.6716	46.2417	0.280987
8	26	44.5895	17.8702	46.1003	0.286361
8	27	44.3769	18.0575	45.9499	0.291578
8	28	44.157	18.2357	45.7911	0.296687
8	29	43.9277	18.4053	45.622	0.301711
8	30	43.687	18.5637	45.4398	0.306614
8	31	43.4355	18.7068	45.2437	0.311308
8	32	43.177	18.833	45.0367	0.315732
8	33	42.9148	18.9443	44.8225	0.319908
8	34	42.6494	19.0435	44.602	0.32389
8	35	42.3794	19.1315	44.3744	0.327707
8	36	42.1043	19.2079	44.1388	0.331353
8	37	41.8626	19.2662	43.9294	0.334397
8	38	41.6471	19.3101	43.7405	0.336962
8	39	41.45	19.3403	43.5645	0.339112
8	40	41.264	19.3619	43.3963	0.341008
8	41	41.0808	19.3722	43.2273	0.342649
8	42	40.8928	19.3756	43.0514	0.34419
8	43	40.6898	19.367	42.8574	0.3456
8	44	40.4534	19.3424	42.6267	0.346937
8	45	40.1664	19.3282	42.352	0.348925
8	46	39.9374	19.2887	42.1233	0.349903
8	47	39.7466	19.2073	41.9162	0.349639
