# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	0	0	105.002	37.4907	10.7421	40.7298	57.1813	0	0	0	105.002	0.938772	141	30	34.8682	1.26962	0	0
1	1	0	0	99.0091	36.4152	2.13118	45.5251	53.8328	0	0	0	99.0091	0.938253	142	30	38.1334	1.52534	0	0
2	1	0	0	107.984	37.9753	20.1001	33.9513	58.4368	0	0	0	107.984	0.940949	132	30	33.0375	0.931861	0	0
3	1	0	0	101.606	37.0229	-7.75946	49.3251	49.1558	0	0	0	101.606	0.931507	131	30	42.6809	1.76312	0	0
4	1	0	0	96.9418	36.1179	27.9471	25.7068	56.8051	0	0	0	96.9418	0.933848	130	30	33.0594	0.585737	0	0
5	1	0	0	96.2388	35.9944	-17.9172	52.3579	43.8512	0	0	0	96.2388	0.93345	137	30	48.5168	1.95791	0	0
6	1	0	0	68.1059	29.9394	33.9948	18.9437	53.1084	0	0	0	68.1059	0.954791	109	22	35.514	0.330134	0	0
7	1	0	0	83.8919	33.709	-27.8215	52.4824	39.7781	0	0	0	83.8919	0.927766	145	30	53.16	2.1304	0	0
8	1	1	0	74.8272	31.0499	40.3338	14.3954	48.1414	0	0	0	74.8272	0.975326	133	30	40.538	0.172653	0	0
9	1	1	0	55.3349	26.8885	-34.792	48.4435	38.2885	0	0	0	55.3349	0.961781	120	22	54.0406	2.27994	0	0
10	2	0	0	97.1092	38.3533	2.49477	31.7659	66.6396	0	0	0	97.1092	0.829594	141	22	24.425	1.48487	0	0
11	2	0	0	111.07	39.3094	10.9365	28.1235	68.6133	0	0	0	111.07	0.903259	150	30	23.2212	1.09976	0	0
12	2	0	0	108.47	38.7338	-5.46936	36.4514	59.8784	0	0	0	108.47	0.908525	155	30	29.6076	1.77031	0	0
13	2	0	0	95.0292	35.9382	18.406	20.7039	67.1779	0	0	0	95.0292	0.9246	149	22	22.3704	0.635176	0	0
14	2	0	0	94.6021	36.1798	-14.3521	40.3069	52.76	0	0	0	94.6021	0.908194	152	30	36.0333	1.99255	0	0
15	2	0	0	90.5178	34.6651	25.908	13.9719	60.4106	0	0	0	90.5178	0.946581	145	30	26.3347	0.250998	0	0
16	2	0	0	96.3894	38.0736	-22.8617	41.1702	47.5692	0	0	0	96.3894	0.835585	151	30	40.98	2.17438	0	0
17	2	1	0	78.6091	32.0059	33.957	8.23973	52.4382	0	0	0	78.6091	0.964326	149	30	33.5682	0.024091	0	0
18	2	1	0	93.4738	36.414	-30.7936	40.2645	43.4145	0	0	0	93.4738	0.885858	158	30	45.2878	2.33057	0	0
19	3	0	0	105.146	41.0774	3.72266	15.328	82.5441	89.8513	0	0	105.146	0.783067	132	30	8.56804	1.17237	0	0
20	3	0	0	112.916	42.4736	-3.74721	20.0333	73.5686	81.0247	0	0	112.916	0.786555	154	30	13.2666	1.88862	0	0
21	3	0	0	95.8403	39.5188	10.6108	12.1154	75.1159	91.2997	0	0	95.8403	0.771173	124	30	11.2353	0.430057	0	0
22	3	0	0	105.414	43.2707	-11.2628	23.7877	64.5523	72.0947	0	0	105.414	0.707492	142	22	20.0879	2.19016	0	0
23	3	0	0	101.848	37.5839	17.9048	6.22966	64.9454	87.6634	0	0	101.848	0.906067	152	30	17.5475	-0.0685225	0	0
24	3	0	0	110.126	43.2558	-18.5736	26.3196	57.1219	64.5789	0	0	110.126	0.739629	154	30	26.7716	2.3584	0	0
25	3	1	0	84.9512	33.2699	26.581	2.05705	56.1025	76.9543	0	0	84.9512	0.964443	151	30	26.7283	-0.202442	0	0
26	3	1	0	102.038	38.4182	-26.1542	27.6118	50.6507	57.9315	0	0	102.038	0.868753	143	30	33.3513	2.49171	0	0
27	4	0	0	98.0072	41.5784	-2.10405	2.08289	65.4864	98.6049	0	0	98.0072	0.712413	120	30	5.90478	-2.00846	0	0
28	4	0	0	94.2953	38.4399	4.68114	-1.70696	63.5903	102.166	0	0	94.2953	0.80193	111	30	10.0918	-1.13254	0	0
29	4	0	0	78.4105	37.4555	-8.32401	6.06255	64.7238	88.7907	0	0	78.4105	0.70235	115	22	8.82927	-2.98596	0	0
30	4	0	0	95.4273	37.659	11.0309	-4.02851	60.2547	94.0379	0	0	95.4273	0.845561	126	30	15.6324	-0.822826	0	0
31	4	0	0	108.7	43.5333	-15.1443	8.34895	60.1774	78.8536	0	0	108.7	0.720766	150	30	15.5699	3.08261	0	0
32	4	1	0	92.8369	34.6784	19.564	-6.24907	54.9949	82.3849	0	0	92.8369	0.970091	154	30	23.547	-0.619925	0	0
33	4	1	0	85.3036	36.197	-22.1292	12.3758	55.0516	69.1965	0	0	85.3036	0.818147	139	22	23.064	2.92552	0	0
34	5	0	0	73.4556	34.8905	0.130225	-14.8248	51.4856	81.7414	0	0	73.4556	0.758266	100	22	22.2576	-1.58285	0	0
35	5	0	0	101.456	42.8195	-5.27477	-13.1933	51.6444	80.7489	0	0	101.456	0.69535	125	30	21.3905	-1.83923	0	0
36	5	0	0	83.3201	34.851	7.10592	-16.543	50.2541	79.8736	0	0	83.3201	0.862043	102	30	24.8947	-1.298	0	0
37	5	0	0	114.34	44.1841	-12.1422	-9.44193	51.8642	78.0272	0	0	114.34	0.735995	153	30	21.0231	-2.20996	0	0
38	5	1	0	70.2254	30.3174	14.6822	-16.0288	49.4047	77.2376	0	0	70.2254	0.960109	138	22	27.4662	-1.02389	0	0
39	5	1	0	109.662	41.287	-19.5893	-4.6916	50.7449	72.2823	0	0	109.662	0.808425	147	30	23.3768	-2.5964	0	0
40	6	0	0	120.064	44.3042	-1.90328	-31.6671	39.5092	62.1062	0	0	120.064	0.768661	139	30	39.1659	-1.6296	0	0
41	6	0	0	95.3508	39.2002	5.56393	-29.3709	41.2004	65.0375	0	0	95.3508	0.779754	125	30	37.1627	-1.43135	0	0
